USNM	Tissue	Biorepository	Population	Sample	Sex	Age	Color
608158	B01896	AB2MY07	EL	EL_1896	M	A	Y
608162	B01897	AB2MY08	EL	EL_1897	M	A	Y
614036	B01898	AB2MY09	EL	EL_1898	M	A	Y
608161	B01899	AB2MY10	EL	EL_1899	M	A	Y
608160	B01900	AB2MY11	EL	EL_1900	M	A	Y
608165	B01902	AB2MY12	EL	EL_1902	M	A	Y
608163	B01903	AB2MY13	EL	EL_1903	M	A	Y
608164	B01904	AB2MY14	EL	EL_1904	M	A	Y
608166	B01907	AB2MY16	EL	EL_1907	M	I	G
608159	B01908	AB2MY17	EL	EL_1908	M	A	Y
614037	B01909	AB2MY18	EL	EL_1909	M	A	Y
614038	B01910	AB2MY19	EL	EL_1910	M	A	Y
614039	B01911	AB2MY20	EL	EL_1911	M	A	Y
614040	B01912	AB2MY21	EL	EL_1912	M	A	Y
614041	B01913	AB2MY22	EL	EL_1913	F	U	G
614042	B01914	AB2MY23	EL	EL_1914	F	U	G
608167	B01948	AB2MY25	EL	EL_1948	M	A	Y
608168	B01949	AB2MY26	EL	EL_1949	M	A	Y
656945	B04501	AB2ML12	EM	EM_4501	F	U	G
656946	B04502	AB2ML13	EM	EM_4502	M	A	W
656947	B04503	AB2ML14	EM	EM_4503	M	A	Y
656948	B04504	AB2ML15	EM	EM_4504	M	A	W
656949	B04505	AB2ML16	EM	EM_4505	M	A	Y
656950	B04506	AB2ML17	EM	EM_4506	M	I	G
656951	B04507	AB2ML18	EM	EM_4507	M	I	G
656952	B04508	AB2ML19	EM	EM_4508	M	A	W
656953	B04509	AB2ML20	EM	EM_4509	F	U	G
656954	B04510	AB2ML21	EM	EM_4510	M	I	G
656955	B04511	AB2ML22	EM	EM_4511	M	A	Y
656956	B04513	AB2ML23	EM	EM_4513	M	A	Y
656957	B04514	AB2ML24	EM	EM_4514	F	U	G
656958	B04515	AB2ML25	EM	EM_4515	M	A	W
656959	B04516	AB2ML26	EM	EM_4516	M	A	Y
608986	B04518	AC8CO88	EM	EM_4518	M	A	Y
656961	B04520	AB2ML29	EM	EM_4520	F	U	G
656962	B04521	AB2ML30	EM	EM_4521	M	A	W
656963	B04522	AB2ML31	EM	EM_4522	M	A	Y
656964	B04523	AB2ML32	EM	EM_4523	F	U	G
657155	B04760	AC8CP63	EU	EU_4760	M	A	W
657156	B04761	AC8CP64	EU	EU_4761	M	A	Y
